Plot,Title,Year
"A couple encounters a perverted gas station attendant who threatens them with a shotgun. They take a deserted path in Texas to seek help, but only meet up with a cannibalistic clan interested in helping themselves to fresh meat.",Leatherface: Texas Chainsaw Massacre III,1990
"After completing a lengthy prison sentence, one-time drug kingpin Frank White returns to New York intent on reestablishing his empire and making things as they were before he left. Others of course have taken over the business during his absence but that clearly isn't going to stop White. While he is gunning down the opposition, he decides he's going to give away the money he'll make to modernize the hospital in his old neighborhood. Drug dealers aren't the only thing he has to worry about however: a group of rogue cops decide they are going to take him down.",King of New York,1990
"Soviets create a new nuclear submarine that runs silent due to a revolutionary propulsion system. Russian sub captain defects, goal of taking it to the U.S.A. to prevent the Russians from using the sub to wreak nuclear (missile) war against the U.S. Lots of plot turns and twists in this high-tech thriller.",The Hunt for Red October,1990
"Loosely based on serial killer Henry Lee Lucas, the film follows Henry and his roommate Otis who Henry introduces to murdering randomly selected people. The killing spree depicted in the film starts after Otis' sister Becky comes to stay with them. The people they kill are strangers and in one particularly gruesome attack, kill all three members of a family during a home invasion. Henry lacks compassion in everything he does and isn't the kind to leave behind witnesses - of any kind.",Henry: Portrait of a Serial Killer,1986
"Jack Moony, a white cop, has it in for a black lawyer to the drug crowd, Napoleon Stone. That Stone is now dating his ex-girlfriend doesn't help matters at all. Stone is shot after Moony suffers a heart attack and wakes to find that he not only has a new heart, but that it is Stone's and that Stone's ghost is now his constant companion. Stone is insistent that Moony not only take care of his heart now but that Moony solve his murder.",Heart Condition,1990
"An army of malevolent little monsters take over a high-tech corporate skyscraper when a cute and intelligent exotic pet is exposed to water. The ""Mogwai's"" owner joins forces with the Trump-like head of the corporation to regain control.",Gremlins 2: The New Batch,1990
"In a very old textile mill with a serious rat infestation, the workers discover a horrifying secret deep in the basement.",Graveyard Shift,1990
"In the final instalment of the Godfather Trilogy, an aging Don Michael Corleone seeks to legitimize his crime family's interests and remove himself from the violent underworld but is kept back by the ambitions of the young. While he attempts to link the Corleone's finances with the Vatican, Michael must deal with the machinations of a hungrier gangster seeking to upset the existing Mafioso order and a young protoge's love affair with his daughter.",The Godfather: Part III,1990
"Lt. Kinderman and Father Dyer cheer each other up on the anniversary of the death of their mutual friend, Father Damien Karras, by going to see ""It's a Wonderful Life"" at the local theater in Georgetown, near Washington D.C. But there's no cheering Kinderman while a particularly cruel and gruesome serial killer is at large. His murders, which involve torture, decapitation and the desecration of religious icons, is bad enough; but they also resemble those of the Gemini Killer, who has been dead for fifteen years.",The Exorcist III,1990
"In a castle high on top of a hill lives an inventor's greatest creation - Edward, a near-complete person. The creator died before he could finish Edward's hands; instead, he is left with metal scissors for hands. Since then, he has lived alone, until a kind lady called Peg discovers him and welcomes him into her home. At first, everyone welcomes him into the community, but soon things begin to take a change for the worse.",Edward Scissorhands,1990
