Title,Year,Plot
Stretch,2014,"A hard-luck limo driver struggles to go straight and pay off a debt to his bookie. He takes on a job with a crazed passenger, whose sought-after ledger implicates some seriously dangerous criminals."
Last Knights,2015,"A fallen warrior rises against a corrupt and sadistic ruler to avenge his dishonored master in a sword-clashing adventure of loyalty, honor, and vengeance."
Muscle Shoals,2013,"Located alongside the Tennessee River, Muscle Shoals, Alabama is the unlikely breeding ground for some of America's most creative and defiant music. Under the spiritual influence of the 'Singing River' as Native Americans called it, the music of Muscle Shoals changed the world and sold millions upon millions of copies. At its heart is Rick Hall who founded FAME Studios. Overcoming crushing poverty and staggering tragedies, he brought black and white together in Alabama's cauldron of racial hostility to create music for the generations while giving birth to the 'Muscle Shoals Sound' and 'The Swampers'. Mick Jagger, Keith Richards, Percy Sledge, Gregg Allman, Clarence Carter, Etta James, Alicia Keys, Bono, and others bear witness to Muscle Shoals' magnetism, mystery, and why it remains influential today."
Star Wars: The Force Awakens,2015,"30 years after the defeat of Darth Vader and the Empire, Rey, a scavenger from the planet Jakku, finds a BB-8 droid that knows the whereabouts of the long lost Luke Skywalker. Rey, as well as a rogue stormtrooper and two smugglers, are thrown into the middle of a battle between the Resistance and the daunting legions of the First Order."
Paranormal Activity: The Marked Ones,2014,"Jesse begins experiencing a number of disturbing and unexplainable things after the death of his neighbor. As he investigates, it isn't long before Jesse finds he's been marked for possession by a malevolent demonic entity, and it's only a matter of time before he is completely under its control..."
Get on Up,2014,"On route to the stage, singer James Brown recalls a life with a turbulent childhood where music was his only constructive release for his passions. A chance demonstration of that in prison led to a new friend who helped get him out and into a musical career. With his fire and creative daring, Brown became a star who defiantly created new possibilities in show business both on and behind the stage in face of racism and conventional thinking. Along the way, James would also become a peacemaker who redefined and raised the African-American community's feeling of self-worth when it was needed most. However, those same domineering passions would lead James Brown alienating everyone around him as his appetites became ever more self-destructive. Only after he hit rock bottom with a serious mistake does Brown realize what he needs to do make his life as the Godfather of Soul truly worthwhile."
And So It Goes,2014,"Oren Little has turned his back on all his neighbors and shunned the notion of being kind to others after the death of his wife. Next door neighbor Leah has put her soul, and her tears, into her stagnant singing career after the death of her husband. But then Oren's son shows up needing Oren to take care of his daughter Sarah. Oren has no patience for children, Leah never had any of her own, but 9-year-old Sarah just might be the spark that allows these two lonely souls to turn their home into a Little Shangri-La."
The Other Shore,2013,"THE OTHER SHORE follows world record holder and legendary swimmer Diana Nyad as she comes out of a thirty-year retirement to re-attempt an elusive dream: swimming 103 miles non-stop from Cuba to Florida without the use of a shark cage. Her past and present collide in her obsession with a feat that nobody has ever accomplished. At the edge of The Devil's Triangle, tropical storms, sharks, venomous jellyfish, and one of the strongest ocean currents in the world, all prove to be life-threatening realities. Timothy Wheeler's documentary brings Diana Nyad's extraordinary adventure to life as Diana sets out to prove that will and determination are all you need to make the unimaginable possible."
Son of a Gun,2014,"Locked up for a minor crime, 19 year old JR quickly learns the harsh realities of prison life. Protection, if you can get it, is paramount. JR soon finds himself under the watchful eye of Australia's most notorious criminal, Brendan Lynch. But protection comes at a price. Lynch and his crew have plans for their young protegee. Upon release, JR must help secure Lynch's freedom, staging a daring prison break. As a reward, he's invited to join the crew as they plan a gold heist that promises to deliver millions. However, as things start to go wrong, a deadly game of cat and mouse ensues. JR finds himself unsure of whom he can trust and on a collision course with his former mentor."
Joy,2015,"Joy has always been fascinated by creating things, This pursuit was always supported emotionally by her maternal grandmother, Mimi. Joy feels that lack of practical support has led to others making fortunes on ideas she came up with years ago but could not act upon manufacturing. Despite being broke, Joy is the person in her extended family to whom everyone has always turned, in the process forgoing her own life, including not having attended college to help see her parents through their divorce. She works in an unsatisfying job as an Eastern Airlines ticket clerk; and lives with her mother Terry who spends all day in bed watching soap operas; her ex-husband Tony, a less than successful aspiring Latino Tom Jones wannabe; and their two children. Added to this mix is her father Rudy, the owner of a failing heavy-duty garage, which is managed by Joy's older half-sister Peggy, with whom she has somewhat of a strained relationship, and for which Joy does the books. Sharon, Rudy's latest girlfriend who has just dumped him, drops him off on Joy's doorstep, making Joy's home life even more complicated as Rudy does not get along with either Terry or Tony. Joy begins to feel buried by her life, in the process her childhood dream of making things seemingly getting farther and farther away. As such, Joy decides to make some changes in her life, and expects the unquestioning practical support of her family. Those changes include manufacturing a new product of her design; what she chooses this time around being a self-wringing mop. That support also includes being able to pitch the idea to Rudy's current wealthy girlfriend, Trudy. Even if she does get to the manufacturing stage, Joy will have to battle the narrow minds of business executives in marketing her product, that is unless she can find a way to get into the homes of the American public in one fell swoop. But nothing is a done deal until the consumer forks out his/her hard earned money for the product and all the legal issues are dealt with. Joy has to decide if she will ""pick up the gun"" as Trudy asked in their initial investment meeting in dealing with an especially troublesome legal issue."
Taken 3,2014,"Liam Neeson returns as ex-covert operative Bryan Mills, whose long awaited reconciliation with his ex-wife is tragically cut short when she is brutally murdered. Consumed with rage, and framed for the crime, he goes on the run to evade the relentless pursuit of the CIA, FBI and the police. For one last time, Mills must use his ""particular set of skills,"" to track down the real killers, exact his unique brand of justice, and protect the only thing that matters to him now - his daughter."
Toy Story of Terror,2013,"The toys go on a road trip, when an unexpected event leads them to a roadside motel, after one of the toys goes missing, the others find themselves caught up in a mysterious, monstrous, and terrifying sequence of events that must be solved before they all suffer the same fate"
Project Almanac,2015,"As a group of friends discover plans for a time machine, they build it and use it to fix their problems and for personal gain. But as the future falls apart with disasters, and each of them disappear little by little, they must travel back to the past to make sure they never invent the machine or face the destruction of humanity."
Philomena,2013,"When former journalist Martin Sixsmith is dismissed from the Labour Party in disgrace, he is at a loss as to what do. That changes when a young Irish woman approaches him about a story of her mother, Philomena, who had her son taken away when she was a teenage inmate of a Catholic convent. Martin arranges a magazine assignment about her search for him that eventually leads to America. Along the way, Martin and Philomena discover as much about each other as about her son's fate. Furthermore, both find their basic beliefs challenged."
Creep,2014,"When a videographer answers an advert of the website Craigslist for a one-day job in a remote mountain town to video the last messages of a dying man. The job takes a strange turn when the last messages get darker and darker. The videographer continues to see the job through, but when it is time to leave he is unable to find his keys, and when he receives a strange phone call he finds his client is not at all what he initially seemed to be."
The Wolfpack,2015,"Locked away from society in an apartment on the Lower East Side of Manhattan, the Angulo brothers learn about the outside world through the films that they watch. Nicknamed, 'The Wolfpack,' the brothers spend their childhood reenacting their favorite films using elaborate homemade props and costumes. Their world is shaken up when one of the brothers decides to revisit the outside world and everything changes."
The Men Next Door,2012,"This is a fast-paced comedy about a 40-year-old gay man who finds himself dating two equally lovable men - a secure 50-year-old who came out later in life, and an adventurous 30-year-old who wasn't looking for a relationship. What he doesn't find out right away is that the two men are, in fact, father and son. And as they say, wackiness ensues."
Woman in Gold,2015,"Maria Altman sought to regain a world famous painting of her aunt plundered by the Nazis during World War II. She did so not just to regain what was rightfully hers, but also to obtain some measure of justice for the death, destruction, and massive art theft perpetrated by the Nazis."
The Family,2013,"A mafia boss and his family are relocated to a sleepy town in France under the witness protection program after snitching on the mob. Despite the best efforts of CIA Agent Stansfield (Tommy Lee Jones) to keep them in line, Fred Manzoni (Robert De Niro), his wife Maggie (Michelle Pfeiffer) and their children Belle (Dianna Agron) and Warren (John D'Leo) can't help but revert to old habits and blow their cover by handling their problems the ""family"" way, enabling their former mafia cronies to track them down. Chaos ensues as old scores are settled in the unlikeliest of settings."
Lovesick,2014,"Lovesick is the comic tale of Charlie Darby (Matt LeBlanc), a man who has everything going for him: a great job as an elementary school principal, supportive friends and a wonderful life. The one thing that Charlie doesn't have is love because every time he starts to fall for a girl, his brain chemistry changes and he goes clinically insane. When he meets Molly Kingston (Ali Larter), a former dancer who just might be his perfect match, Charlie is confronted with the consequences of his condition. With the help of his friend Jason (Adam Rodriguez) and the often misguided advice from his wacky neighbor Lester (Chevy Chase), Charlie must find a way to overcome his psychosis to claim his chance at true love."
Belle,2013,"BELLE is inspired by the true story of Dido Elizabeth Belle (Gugu Mbatha-Raw), the illegitimate mixed race daughter of a Royal Navy Captain. Raised by her aristocratic great-uncle Lord Mansfield (Tom Wilkinson) and his wife (Emily Watson), Belle's lineage affords her certain privileges, yet the color of her skin prevents her from fully participating in the traditions of her social standing. Left to wonder if she will ever find love, Belle falls for an idealistic young vicar's son bent on change who, with her help, shapes Lord Mansfield's role as Lord Chief Justice to end slavery in England."
Carol,2015,"In an adaptation of Patricia Highsmith's seminal novel The Price of Salt, CAROL follows two women from very different backgrounds who find themselves in an unexpected love affair in 1950s New York. As conventional norms of the time challenge their undeniable attraction, an honest story emerges to reveal the resilience of the heart in the face of change. A young woman in her 20s, Therese Belivet (Rooney Mara), is a clerk working in a Manhattan department store and dreaming of a more fulfilling life when she meets Carol (Cate Blanchett), an alluring woman trapped in a loveless, convenient marriage. As an immediate connection sparks between them, the innocence of their first encounter dims and their connection deepens. While Carol breaks free from the confines of marriage, her husband (Kyle Chandler) begins to question her competence as a mother as her involvement with Therese and close relationship with her best friend Abby (Sarah Paulson) come to light."
Felony,2013,"Three male detectives become embroiled in a tense struggle after a tragic accident that leaves a child in a coma. One is guilty of a crime, one will try to cover it up, and the other attempts to expose it. How far will these men go to both disguise and unravel the truth?"
Anomalisa,2015,"Michael Stone, an author that specializes in customer service, is a man who is unable to interact deeply with other people. His low sensitivity to excitement, and his lack of interest made him a man with a repetitive life on his own perspective. But, when he went on a business trip, he met a stranger - an extraordinary stranger, which slowly became a cure for his negative view on life that possibly will change his mundane life."
Tracers,2015,"Wanted by the Chinese mafia, a young New York City bike messenger down on his luck, who just wants to do good, escapes into the world of parkour after meeting a beautiful stranger and her group of Parkour trainers that get him involved in a criminal delivery service for extra money."
They Came Together,2014,A small business owner is about to lose her shop to a major corporate development.
Woody Allen: A Documentary,2012,"Iconic writer, director, actor, comedian and musician Woody Allen allowed his life and creative process to be documented on-camera for the first time. With this unprecedented access, Emmy-winning, Oscar-nominated filmmaker Robert B. Weide followed the notoriously private film legend over a year and a half to create the ultimate film biography. ""Woody Allen: A Documentary"" chronicles Allen's career - from teen writer to Sid Caesar's TV scribe, from stand-up comedian to award-winning writer-director averaging one film-per-year for more than 40 years. Exploring Allen's writing habits, casting, directing, and relationship with his actors first-hand, new interviews with A-listers, writing partners, family and friends provide insight and backstory to the usually inscrutable filmmaker."
Predestination,2014,"PREDESTINATION chronicles the life of a Temporal Agent sent on an intricate series of time-travel journeys designed to ensure the continuation of his law enforcement career for all eternity. Now, on his final assignment, the Agent must pursue the one criminal that has eluded him throughout time."
20 Feet from Stardom,2013,"The backup singer exists in a strange place in the pop music world; they are always in the shadow of the feature artists even when they are in front of them in concert while they provide a vital foundation for the music. Through interviews with veterans and concert footage, the history of these predominately African-American singers is explored through the rock era. Furthermore, special focus is given to special stand outs who endeavored to make a living in the art burdened with a low profile and more personal career frustrations, especially those who faced the very different challenge of singing in the spotlight themselves."
It's Such a Beautiful Day,2011,"Bill struggles to put together his shattered psyche, in this new feature film version of Don Hertzfeldt's animated short film trilogy."
Avengers: Age of Ultron,2015,"Tony Stark creates the Ultron Program to protect the world, but when the peacekeeping program becomes hostile, The Avengers go into action to try and defeat a virtually impossible enemy together. Earth's mightiest heroes must come together once again to protect the world from global extinction."
Reality,2014,"A wanna-be director is given 48 hours by a producer to find the best groan of pain, worthy of an Oscar, as the only condition to back his film."
Enough Said,2013,"A divorced and single parent, Eva (Julia Louis-Dreyfus) spends her days enjoying work as a masseuse but dreading her daughter's impending departure for college. She meets Albert (James Gandolfini) - a sweet, funny and like-minded man also facing an empty nest. As their romance quickly blossoms, Eva befriends Marianne (Catherine Keener), her new massage client. Marianne is a beautiful poet who seems ""almost perfect"" except for one prominent quality: she rags on her ex-husband way too much. Suddenly, Eva finds herself doubting her own relationship with Albert as she learns the truth about Marianne's ex."
Cheap Thrills,2013,"Cheap Thrills follows Craig (Pat Healy, Compliance), a struggling family man who loses his low-wage job and is threatened with eviction. In an effort to delay facing the music at home, he heads to a local bar and encounters an old friend (Ethan Embry, Empire Records). The two friends are roped into a round of drinks by a charismatic and obscenely wealthy stranger (David Koechner, Anchorman 2) along with his mysterious wife (Sara Paxton, The Inkeepers). The couple engages the two friends in a series of innocent dares in exchange for money over the course of the evening, with each challenge upping the ante in both reward and boundaries. It seems like easy and much needed money, but the couple's twisted sense of humor pushes just how far Craig and his friend are willing to go for money and cheap thrills. (c) Drafthouse"
Paperman,2012,"An animated short that follows the story of a lonely young man in mid-century New York City, whose destiny takes an unexpected turn after a chance meeting with a beautiful woman on his morning commute. Convinced the girl of his dreams is gone forever, he gets a second chance when he spots her in a skyscraper window across the avenue from his office. With only his heart, imagination and a stack of papers to get her attention, his efforts are no match for what the fates have in store for him."
Oculus,2013,"The twenty-one year-old Timothy ""Tim"" Allen Russell is discharged from a mental institution by his psychiatric Dr. Shawn Graham completely healed from a childhood trauma where his father purportedly tortured and killed his mother before being killed himself by Tim. His sister Kaylie welcomes him in the parking area and brings him home. Then she tells that they need to destroy an ancient mirror that she has found through working at an auction house. She then steals the mirror and the reluctant Tim follows his sister and has fragmented recollections from their childhood, going back to when his father Alan buys a mirror for the home office of their new family home. Kaylie and Tim see a woman with their father in his office and the behaviors of Alan and Marie change, ending in a family tragedy. Kaylie blames the mirror and now she wants to destroy it with Tim. Will they succeed?"
Delivery Man,2013,"David Wozniak is a man who is irresponsible and unreliable which doesn't exactly endear him to his family and his girlfriend. And when she tells him that she's pregnant, she tells him, she plans to do it on her own because she can't count on him. One day a lawyer shows up and talks to him about the fact that twenty years ago he was a sperm donor for about a year and his sperm was used to father over 500 children. And now over 100 of them want to know who he is but because he signed a confidentiality agreement, they can't be told who he is. So they are going to court to try to get the confidentiality set aside. His lawyer tells him that they can win this. But when the lawyer who saw him gives him info on the ones who want to see him, he takes a peek at one and decides to go see him and not tell him he's the father. He then goes out and checks out some of his other children and doesn't tell them who he is and connects with them. His lawyer tells him it could jeopardize their case, especially since he can get a big settlement which he can use to pay back some people he borrowed from who ""tell"" him to pay or else."
Haunt,2014,"A mother and father and their three teen-age children move to a new home that was the scene of a ""personal tragedy"". The son meets a mysterious neighbor girl and together they experiment with an old radio they find in the attic, that can be used to communicate with the dead. Something is unleashed that brings new horror."
The Sacrament,2013,"The journalist Patrick works at the VICE, a company dedicated to cover bizarre news. When his sister Caroline joins a community, she travels abroad with her new family. Out of the blue, Caroline invites her brother to visit her in an undefined country and Patrick travels by helicopter with his friends Jake and Sam that work with him at VICE. They find weird that the men that have come to guide them to the Eden Parish have guns. On the arrival to the camp, Patrick, Sam and Jake find a community of happy people that worship Father. They interview Father but soon they realize that people are not as happy as they seem to be. Further, they find that they are trapped in the Parish Eden and they want to leave the place with the newcomers. But the Father does not have intention to let them go."
Focus,2015,"Nicky Spurgeon is an extremely accomplished con man who takes an amateur con artist, Jess, under his wing. Nicky and Jess become romantically involved, and with Nicky's profession of being a liar and a cheater for a living, he realizes that deception and love are things that don't go together. They split, only to see each other three years later... And things get messy."
Mission: Impossible - Rogue Nation,2015,"CIA chief Hunley (Baldwin) convinces a Senate committee to disband the IMF (Impossible Mission Force), of which Ethan Hunt (Cruise) is a key member. Hunley argues that the IMF is too reckless. Now on his own, Hunt goes after a shadowy and deadly rogue organization called the Syndicate."
Brooklyn,2015,"In late 1951, Eilis Lacey, a young Irish girl, emigrates to Brooklyn. Sponsored by Father Flood, a priest from her native town Enniscorthy, she is assured to find a full-time job there. But the early days are tough, seasickness being soon replaced by loneliness and homesickness, two feelings all the more acutely felt by Eilis for having had to leave behind her widowed mother and her dear sister Rose. She nevertheless little by little manages to find her footing by adapting to her job as a salesgirl, by studying bookkeeping at Brooklyn College as well as with a little help from both Father Flood and Mrs. Kehoe, the owner of the boarding school she now lives in. And not only does graduation follow but love shows its face in Tony, an Italian-American plumber, full of adoration and respect for her. They end up marrying, although keeping the thing secret. It is at that point that tragedy strikes inciting Eilis to return to Enniscorthy to support her mother morally. And there a strange thing happens : she gradually gets lured by the charms of her native place, going far as to let herself be wooed by Jim Farrell, a young local."
Words and Pictures,2013,"A flamboyant English teacher (Clive Owen) and a new, stoic art teacher (Juliette Binoche) collide at an upscale prep school. A high-spirited courtship begins and she finds herself enjoying the battle. Another battle they begin has the students trying to prove which is more powerful, the word or the picture. But the true war is against their own demons, as two troubled souls struggle for connection."
The Central Park Five,2012,"In 1989, five black and Latino teenagers from Harlem were arrested and later convicted of raping a white woman in New York City's Central Park. They spent between 6 and 13 years in prison before a serial rapist confessed that he alone had committed the crime, leading to their convictions being overturned. Set against a backdrop of a decaying city beset by violence and racial tension, THE CENTRAL PARK FIVE tells the story of that horrific crime, the rush to judgment by the police, a media clamoring for sensational stories and an outraged public, and the five lives upended by this miscarriage of justice."
Spectre,2015,"A cryptic message from the past sends James Bond on a rogue mission to Mexico City and eventually Rome, where he meets Lucia, the beautiful and forbidden widow of an infamous criminal. Bond infiltrates a secret meeting and uncovers the existence of the sinister organisation known as SPECTRE. Meanwhile back in London, Max Denbigh, the new head of the Centre of National Security, questions Bond's actions and challenges the relevance of MI6 led by M. Bond covertly enlists Moneypenny and Q to help him seek out Madeleine Swann, the daughter of his old nemesis Mr White, who may hold the clue to untangling the web of SPECTRE. As the daughter of the assassin, she understands Bond in a way most others cannot. As Bond ventures towards the heart of SPECTRE, he learns a chilling connection between himself and the enemy he seeks."
The Act of Killing,2012,"A documentary which challenges former Indonesian death-squad leaders to reenact their mass-killings in whichever cinematic genres they wish, including classic Hollywood crime scenarios and lavish musical numbers."
Need for Speed,2014,"Framed by an ex-partner for a murder he did not commit, Tobey Marshall, a financially struggling custom-car builder and street-racer, spends two years in jail thinking about one moment. Fresh out of prison he reacquires the fastest car his workshop ever built and sold, and seeks to enter a secretive and extremely high-stakes race known as The DeLeon. His purpose; redemption, recognition from the world of racing and to solve his problems. Yet all this fades in comparison to his driving reason. Revenge. Above all, revenge. This is a story about love, redemption, revenge and motor oil all swirled together"
Runner Runner,2013,"Princeton grad student Richie, believing he's been swindled, travels to Costa Rica to confront online gambling tycoon Ivan Block. Richie is seduced by Block's promise of immense wealth, until he learns the disturbing truth about his benefactor. When the FBI tries to coerce Richie to help bring down Block, Richie faces his biggest gamble ever: attempting to outmaneuver the two forces closing in on him."
The Intern,2015,"A retired 70-year-old widower, Ben (played by Robert De Niro), is bored with retired life. He applies to a be a senior intern at an online fashion retailer and gets the position. The founder of the company is Jules Ostin (Anne Hathaway), a tireless, driven, demanding, dynamic workaholic. Ben is made her intern, but this is a nominal role - she doesn't intend to give him work and it is just window dressing. However, Ben proves to be quite useful and, more than that, a source of support and wisdom."
Blue Ruin,2013,"A mysterious outsider's quiet life is turned upside down when he returns to his childhood home to carry out an act of vengeance. Proving himself an amateur assassin, he winds up in a brutal fight to protect his estranged family."
Unfinished Business,2015,"A hard-working small business owner (Vince Vaughn) and his two associates (Tom Wilkinson, Dave Franco) travel to Europe to close the most important deal of their lives. But what began as a routine business trip goes off the rails in every imaginable - and unimaginable - way, including unplanned stops at a massive sex fetish event and a global economic summit."
Jobs,2013,The story of Steve Jobs' ascension from college dropout into one of the most revered creative entrepreneurs of the 20th century.
Barefoot,2014,"The ""black sheep"" son of a wealthy family meets a young psychiatric patient who's been raised in isolation her entire life. He takes the naive young woman home for his brother's wedding to convince his family that he's finally straightened out his life. She impresses the family with her genuine, if unstable charm. Along the way they fall into an improbable love"
Frances Ha,2012,"Frances lives in New York, but she doesn't really have an apartment. Frances is an apprentice for a dance company, but she's not really a dancer. Frances has a best friend named Sophie, but they aren't really speaking anymore. Frances throws herself headlong into her dreams, even as their possible reality dwindles. Frances wants so much more than she has but lives her life with unaccountable joy and lightness."
White House Down,2013,"Capitol Policeman John Cale has just been denied his dream job with the Secret Service of protecting President James Sawyer. Not wanting to let down his little girl with the news, he takes her on a tour of the White House, when the complex is overtaken by a heavily armed paramilitary group. Now, with the nation's government falling into chaos and time running out, it's up to Cale to save the president, his daughter, and the country."
The Zero Theorem,2013,"A hugely talented but socially isolated computer operator is tasked by Management to prove the Zero Theorem: that the universe ends as nothing, rendering life meaningless. But meaning is what he already craves."
