Title,Year,Plot
Blankman,1994,"Darryl is a childlike man with a genius for inventing various gadgets out of junk. When he stumbles on a method to make his clothes bulletproof, he decides to use his skills to be the lowest budgeted superhero of all."
Baby's Day Out,1994,"Baby Bink couldn't ask for more; he has adoring (if somewhat sickly-sweet) parents, he lives in a huge mansion, and he's just about to appear in the social pages of the paper. Unfortunately, not everyone in the world is as nice as Baby Bink's parents; especially the three enterprising kidnappers who pretend to be photographers from the newspaper. Successfully kidnapping Baby Bink, they have a harder time keeping hold of the rascal, who not only keeps one step ahead of them, but seems to be more than a little bit smarter than the three bumbling criminals."
Africa: The Serengeti,1994,"The Serengeti is a huge area of grassland in Tanzania, Africa. Once a year, in the time of drought, about two million herd animals like antelopes travel north to feed and mate before moving south again, when plants there begin to blossom."
3 Ninjas Kick Back,1994,"During a championship baseball match, the three brothers hear that their grandfather in Japan is in trouble, and head out to help him, conceding the match. When they arrive in Japan, they must use all their powers to defend him against his ancient enemy, who has returned to exact revenge."
Weekend at Bernie's II,1993,"After their adventure at Bernie's weekend house (events of ""Weekend At Bernie's"") accountants/programmers oafish Larry and up-tight Richard return to New York only to be blamed by the insurance company they all worked for Bernie's theft of two million dollars and fired. Larry and Richard investigate and discover that the money is somewhere in St Thomas in the Virgin Islands. Meanwhile the Cartel Bernie was stealing the money for hires a Voodoo Queen to help them find the money. She tells Henry and Charles to steal Bernie's body and raise it from the dead to lead them to the money. Unfortunately Henry and Charles goofed and Bernie can only move when he hears music. Richard, Larry and Bernie all go to St Thomas to find the money with the aid of Claudia only to be followed by Hummel, a company security officer, who believes that Larry and Richard stole the money as well as Henry and Charles. Who will get to the money first?..."
Untamed Heart,1993,"Caroline has not had much luck in love. Boyfriends seem to either leave her or cheat on her. Then she meets a shy, introverted man at work named Adam. When leaving work one day, two men attack her. Adam comes to her rescue. Unfortunately, retaliation by the attackers sends Adam to the hospital where he finds out he has a diseased heart. Adam is an orphan and was told he had a baboon's heart. He refuses a transplant, as he believes his love for Caroline is contained in his damaged heart. Before tragedy can strike, they have a passionate but brief romance. Adam opens up to Caroline and he, in turn, heals her broken heart."
A Troll in Central Park,1994,"Stanley is a kindhearted, popular troll who can create flowers with a mere touch. When Gnorga, the mean-spirited Queen of the Kingdom of Trolls discovers Stanley's secret, she banishes him to a faraway place where she assumes nothing green can grow - New York City! Taking refuge in Central Park, Stanley befriends two young children, Gus and his baby sister Rosie. The three share wonderful adventures until Gnorga decides to let her mischief-making magic loose in the Big Apple."
Theremin: An Electronic Odyssey,1993,"A documentary about the amazing life of Leon Theremin, inventor of the theremin, the electronic musical instrument so beloved of 50s sci-fi movie music. Theremin amazed America with his instrument until his kidnapping by Soviet agents in the mid-30s. Upon his release from a labor camp, he worked on surveillance devices for the KGB. Almost 60 years later , he is brought back to America for a touching reunion with his friends and colleagues."
Iron Monkey,1993,"A Hong Kong variation on Robin Hood. The corrupt officials of a Chinese village are continually robbed by a masked bandit know as ""Iron Monkey"" named after a benevolent deity. When all else fails, the Govenor forces a traveling physician (Donnie Yen) into finding the bandit. The arrival of an evil Shaolin monk, brings the Physician and Iron Monkey together to battle the corrupt government."
The Sandlot,1993,"Scotty Smalls moves to a new neighborhood with his mom and stepdad, and wants to learn to play baseball. The neighborhood baseball guru Rodriquez takes Smalls under his wing, and soon he's part of the local baseball buddies. They fall into adventures involving baseball, treehouse sleep-ins, the desirous lifeguard at the local pool, the snooty rival ball team, and the travelling fair. Beyond the fence at the back of the sandlot menaces a legendary ball-eating dog called The Beast, and the kids inevitably must deal with him."
The Good Son,1993,"Following his mother's death, Mark is sent to Maine to visit his aunt and uncle while his father goes on a business trip to Tokyo. Mark meets his cousin, Henry, and the two quickly form a friendship. However, Henry begins to show signs of violent behavior that worry Mark."
Gettysburg,1993,The four and 1/4 hour depiction of the historical and personal events surrounding and including the decisive American civil war battle features thousands of civil war re-enactors marching over the exact ground that the federal army and the army of North Virginia fought on. The defense of the Little Round Top and Pickett's Charge are highlighted in the actual three day battle which is surrounded by the speeches of the commanding officers and the personal reflections of the fighting men. Based upon the novel 'The Killer Angels'.
Dragon: The Bruce Lee Story,1993,"Based on the life and career of Martial Arts superstar, Bruce Lee. Haunted by demons. Bruce was taught Martial arts at childhood. Bruce then was told by his father to flee to the United States. There, he opened up a Martial Arts school, then was chosen to be the Green Hornet's sidekick, Kato. Then, his big movie career that included ""The Big Boss"" and ""Enter the Dragon"". Fighting many enemies along the way, including his childhood demon."
The Crush,1993,"Nick Eliot, a 28 year old newspaper reporter moves in the guest house of the Forresters'. Everything goes fine until he meets Adrienne, the Forresters' only child, a 14 year old girl. She develops a crush on him. When he ignores her advances, she's rebuffed and willing to kill him."
"Blood In, Blood Out",1993,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo. It opens in 1972, as the three are members of an East L.A. gang known as the ""Vatos Locos"", and the story focuses on how a violent crime and the influence of narcotics alter their lives. Miklo is incarcerated and sent to San Quentin, where he makes a ""home"" for himself. Cruz becomes an exceptional artist, but a heroin addiction overcomes him with tragic results. Paco becomes a cop and an enemy to his ""carnal"", Miklo."
Best of the Best II,1993,"In an underground fight club, blackbelt Travis Brickley is killed after losing to the evil martial arts master Brakus. Travis' death is witnessed by Walter Grady, the son of his best friend Alex Grady. Alex and his partner, Tommy Lee, vow to avenge their friend's death by defeating Brakus and shutting down the fight club."
The Adventures of Huck Finn,1993,"Huckleberry Finn is a young boy in the 1840s, who runs away from home, and floats down the Mississippi River. He meets a run away slave named Jim and the two undertake a series of adventures based on the Picaresque novel by Mark Twain. As the story progresses the duo exploit an array of episodic enterprises, while Huckleberry slowly changes his views of bigotry. Along the way, Huck and Jim meet the King and Duke, who ultimately send the protagonists towards a different route on their journey. As Huck begins to have a change of heart, he gradually begins to distinguish between right and wrong, and conclusively, Huck is faced with the moral dilemma between the world's prejudice, of which he's grown up with, and the lessons Jim has taught him throughout the story about the evils of racism."
White Sands,1992,"A small southwestern town sheriff finds a body in the desert with a suitcase and $500,000. He impersonates the man and stumbles into an FBI investigation."
