Title,Year,Genres,Plot
Stretch,2014,"Comedy, Crime","A hard-luck limo driver struggles to go straight and pay off a debt to his bookie. He takes on a job with a crazed passenger, whose sought-after ledger implicates some seriously dangerous criminals."
Last Knights,2015,"Action, Adventure, Drama","A fallen warrior rises against a corrupt and sadistic ruler to avenge his dishonored master in a sword-clashing adventure of loyalty, honor, and vengeance."
Muscle Shoals,2013,"Documentary, Biography, History","Located alongside the Tennessee River, Muscle Shoals, Alabama is the unlikely breeding ground for some of America's most creative and defiant music. Under the spiritual influence of the 'Singing River' as Native Americans called it, the music of Muscle Shoals changed the world and sold millions upon millions of copies. At its heart is Rick Hall who founded FAME Studios. Overcoming crushing poverty and staggering tragedies, he brought black and white together in Alabama's cauldron of racial hostility to create music for the generations while giving birth to the 'Muscle Shoals Sound' and 'The Swampers'. Mick Jagger, Keith Richards, Percy Sledge, Gregg Allman, Clarence Carter, Etta James, Alicia Keys, Bono, and others bear witness to Muscle Shoals' magnetism, mystery, and why it remains influential today."
Star Wars: The Force Awakens,2015,"Action, Adventure, Fantasy","30 years after the defeat of Darth Vader and the Empire, Rey, a scavenger from the planet Jakku, finds a BB-8 droid that knows the whereabouts of the long lost Luke Skywalker. Rey, as well as a rogue stormtrooper and two smugglers, are thrown into the middle of a battle between the Resistance and the daunting legions of the First Order."
Paranormal Activity: The Marked Ones,2014,"Horror, Thriller","Jesse begins experiencing a number of disturbing and unexplainable things after the death of his neighbor. As he investigates, it isn't long before Jesse finds he's been marked for possession by a malevolent demonic entity, and it's only a matter of time before he is completely under its control..."
Get on Up,2014,"Biography, Drama, Music","On route to the stage, singer James Brown recalls a life with a turbulent childhood where music was his only constructive release for his passions. A chance demonstration of that in prison led to a new friend who helped get him out and into a musical career. With his fire and creative daring, Brown became a star who defiantly created new possibilities in show business both on and behind the stage in face of racism and conventional thinking. Along the way, James would also become a peacemaker who redefined and raised the African-American community's feeling of self-worth when it was needed most. However, those same domineering passions would lead James Brown alienating everyone around him as his appetites became ever more self-destructive. Only after he hit rock bottom with a serious mistake does Brown realize what he needs to do make his life as the Godfather of Soul truly worthwhile."
And So It Goes,2014,"Comedy, Drama, Romance","Oren Little has turned his back on all his neighbors and shunned the notion of being kind to others after the death of his wife. Next door neighbor Leah has put her soul, and her tears, into her stagnant singing career after the death of her husband. But then Oren's son shows up needing Oren to take care of his daughter Sarah. Oren has no patience for children, Leah never had any of her own, but 9-year-old Sarah just might be the spark that allows these two lonely souls to turn their home into a Little Shangri-La."
The Other Shore,2013,"Documentary, Adventure, Biography","THE OTHER SHORE follows world record holder and legendary swimmer Diana Nyad as she comes out of a thirty-year retirement to re-attempt an elusive dream: swimming 103 miles non-stop from Cuba to Florida without the use of a shark cage. Her past and present collide in her obsession with a feat that nobody has ever accomplished. At the edge of The Devil's Triangle, tropical storms, sharks, venomous jellyfish, and one of the strongest ocean currents in the world, all prove to be life-threatening realities. Timothy Wheeler's documentary brings Diana Nyad's extraordinary adventure to life as Diana sets out to prove that will and determination are all you need to make the unimaginable possible."
Taken 3,2014,"Action, Thriller","Liam Neeson returns as ex-covert operative Bryan Mills, whose long awaited reconciliation with his ex-wife is tragically cut short when she is brutally murdered. Consumed with rage, and framed for the crime, he goes on the run to evade the relentless pursuit of the CIA, FBI and the police. For one last time, Mills must use his ""particular set of skills,"" to track down the real killers, exact his unique brand of justice, and protect the only thing that matters to him now - his daughter."
Philomena,2013,"Biography, Drama","When former journalist Martin Sixsmith is dismissed from the Labour Party in disgrace, he is at a loss as to what do. That changes when a young Irish woman approaches him about a story of her mother, Philomena, who had her son taken away when she was a teenage inmate of a Catholic convent. Martin arranges a magazine assignment about her search for him that eventually leads to America. Along the way, Martin and Philomena discover as much about each other as about her son's fate. Furthermore, both find their basic beliefs challenged."
Venus in Fur,2013,Drama,An actress attempts to convince a director how she's perfect for a role in his upcoming production.
Witching and Bitching,2013,"Comedy, Drama, Horror","After robbing a gold exchange pawn shop, a gang of armed robbers disguised as street performers is on the run, in a frantic attempt to escape from the Police in the crowded streets of Madrid. Without delay and with the unwilling help of a taxi driver, they head towards the safety of the borders, until night arrives and a safe haven is found deep in the woods of the secluded and notorious village of Zugarramurdi, known for some witch activity in the past. Sooner or later, in a place crammed with witches of all sorts and after numerous encounters with the bizarre, the unexpected and the occult, the clumsy thieves must learn fast the ways of the coven in order to save themselves and the world from the next witch apocalypse."
The Men Next Door,2012,"Comedy, Drama, Romance","This is a fast-paced comedy about a 40-year-old gay man who finds himself dating two equally lovable men - a secure 50-year-old who came out later in life, and an adventurous 30-year-old who wasn't looking for a relationship. What he doesn't find out right away is that the two men are, in fact, father and son. And as they say, wackiness ensues."
The Heat,2013,"Action, Comedy, Crime","Sarah Ashburn, an FBI agent, is extremely ambitious and has her eye on a promotion, but she doesn't get along with her co-workers. She is sent to Boston to uncover the identity of an elusive drug lord, Mr. Larkin, by tracking down his proxy, Rojas, and is told that she'll have a good shot at the promotion if she finds Larkin. When she arrives in Boston, she learns that Larkin has been eliminating his competition and taking over their operations. She learns that Rojas is in Boston PD custody and goes to see him to ask him what he knows about Larkin, but is warned that the cop who arrested Rojas, Shannon Mullins, is very territorial, and she is not exactly sociable. When the two meet they don't get along. When Mullins learns why Ashburn is in Boston, she decides to find Larkin herself. Ashburn is told by her boss to work with Mullins, but it won't be easy because Ashburn does things by the book while Mullins does things her way."
The Past,2013,"Drama, Mystery","Coming back to accomplish the divorce procedure, Ahmad an Iranian man, arrives in Paris after four years to meet his ex-wife and her daughters from her previous marriage. He notices his ex is in a relationship with an Arab named Samir who also has a son and a wife in a coma. The relationship of the older daughter and her mother is in deterioration because the daughter thinks her mother is the cause of Samir's wife comatose state. The affairs get more complicated when the older daughter discloses something heinous she has done."
Lovesick,2014,Comedy,"Lovesick is the comic tale of Charlie Darby (Matt LeBlanc), a man who has everything going for him: a great job as an elementary school principal, supportive friends and a wonderful life. The one thing that Charlie doesn't have is love because every time he starts to fall for a girl, his brain chemistry changes and he goes clinically insane. When he meets Molly Kingston (Ali Larter), a former dancer who just might be his perfect match, Charlie is confronted with the consequences of his condition. With the help of his friend Jason (Adam Rodriguez) and the often misguided advice from his wacky neighbor Lester (Chevy Chase), Charlie must find a way to overcome his psychosis to claim his chance at true love."
Belle,2013,"Biography, Drama, Romance","BELLE is inspired by the true story of Dido Elizabeth Belle (Gugu Mbatha-Raw), the illegitimate mixed race daughter of a Royal Navy Captain. Raised by her aristocratic great-uncle Lord Mansfield (Tom Wilkinson) and his wife (Emily Watson), Belle's lineage affords her certain privileges, yet the color of her skin prevents her from fully participating in the traditions of her social standing. Left to wonder if she will ever find love, Belle falls for an idealistic young vicar's son bent on change who, with her help, shapes Lord Mansfield's role as Lord Chief Justice to end slavery in England."
Carol,2015,"Drama, Romance","In an adaptation of Patricia Highsmith's seminal novel The Price of Salt, CAROL follows two women from very different backgrounds who find themselves in an unexpected love affair in 1950s New York. As conventional norms of the time challenge their undeniable attraction, an honest story emerges to reveal the resilience of the heart in the face of change. A young woman in her 20s, Therese Belivet (Rooney Mara), is a clerk working in a Manhattan department store and dreaming of a more fulfilling life when she meets Carol (Cate Blanchett), an alluring woman trapped in a loveless, convenient marriage. As an immediate connection sparks between them, the innocence of their first encounter dims and their connection deepens. While Carol breaks free from the confines of marriage, her husband (Kyle Chandler) begins to question her competence as a mother as her involvement with Therese and close relationship with her best friend Abby (Sarah Paulson) come to light."
Felony,2013,Thriller,"Three male detectives become embroiled in a tense struggle after a tragic accident that leaves a child in a coma. One is guilty of a crime, one will try to cover it up, and the other attempts to expose it. How far will these men go to both disguise and unravel the truth?"
Anomalisa,2015,"Animation, Comedy, Drama","Michael Stone, an author that specializes in customer service, is a man who is unable to interact deeply with other people. His low sensitivity to excitement, and his lack of interest made him a man with a repetitive life on his own perspective. But, when he went on a business trip, he met a stranger - an extraordinary stranger, which slowly became a cure for his negative view on life that possibly will change his mundane life."
Tracers,2015,"Action, Crime, Drama","Wanted by the Chinese mafia, a young New York City bike messenger down on his luck, who just wants to do good, escapes into the world of parkour after meeting a beautiful stranger and her group of Parkour trainers that get him involved in a criminal delivery service for extra money."
They Came Together,2014,"Comedy, Romance",A small business owner is about to lose her shop to a major corporate development.
Woody Allen: A Documentary,2012,"Documentary, Biography","Iconic writer, director, actor, comedian and musician Woody Allen allowed his life and creative process to be documented on-camera for the first time. With this unprecedented access, Emmy-winning, Oscar-nominated filmmaker Robert B. Weide followed the notoriously private film legend over a year and a half to create the ultimate film biography. ""Woody Allen: A Documentary"" chronicles Allen's career - from teen writer to Sid Caesar's TV scribe, from stand-up comedian to award-winning writer-director averaging one film-per-year for more than 40 years. Exploring Allen's writing habits, casting, directing, and relationship with his actors first-hand, new interviews with A-listers, writing partners, family and friends provide insight and backstory to the usually inscrutable filmmaker."
Predestination,2014,"Drama, Mystery, Sci-Fi","PREDESTINATION chronicles the life of a Temporal Agent sent on an intricate series of time-travel journeys designed to ensure the continuation of his law enforcement career for all eternity. Now, on his final assignment, the Agent must pursue the one criminal that has eluded him throughout time."
20 Feet from Stardom,2013,"Documentary, Music","The backup singer exists in a strange place in the pop music world; they are always in the shadow of the feature artists even when they are in front of them in concert while they provide a vital foundation for the music. Through interviews with veterans and concert footage, the history of these predominately African-American singers is explored through the rock era. Furthermore, special focus is given to special stand outs who endeavored to make a living in the art burdened with a low profile and more personal career frustrations, especially those who faced the very different challenge of singing in the spotlight themselves."
It's Such a Beautiful Day,2011,"Animation, Comedy, Drama","Bill struggles to put together his shattered psyche, in this new feature film version of Don Hertzfeldt's animated short film trilogy."
Avengers: Age of Ultron,2015,"Action, Adventure, Sci-Fi","Tony Stark creates the Ultron Program to protect the world, but when the peacekeeping program becomes hostile, The Avengers go into action to try and defeat a virtually impossible enemy together. Earth's mightiest heroes must come together once again to protect the world from global extinction."
Reality,2014,Comedy,"A wanna-be director is given 48 hours by a producer to find the best groan of pain, worthy of an Oscar, as the only condition to back his film."
Enough Said,2013,"Comedy, Drama, Romance","A divorced and single parent, Eva (Julia Louis-Dreyfus) spends her days enjoying work as a masseuse but dreading her daughter's impending departure for college. She meets Albert (James Gandolfini) - a sweet, funny and like-minded man also facing an empty nest. As their romance quickly blossoms, Eva befriends Marianne (Catherine Keener), her new massage client. Marianne is a beautiful poet who seems ""almost perfect"" except for one prominent quality: she rags on her ex-husband way too much. Suddenly, Eva finds herself doubting her own relationship with Albert as she learns the truth about Marianne's ex."
Cheap Thrills,2013,"Comedy, Crime, Drama","Cheap Thrills follows Craig (Pat Healy, Compliance), a struggling family man who loses his low-wage job and is threatened with eviction. In an effort to delay facing the music at home, he heads to a local bar and encounters an old friend (Ethan Embry, Empire Records). The two friends are roped into a round of drinks by a charismatic and obscenely wealthy stranger (David Koechner, Anchorman 2) along with his mysterious wife (Sara Paxton, The Inkeepers). The couple engages the two friends in a series of innocent dares in exchange for money over the course of the evening, with each challenge upping the ante in both reward and boundaries. It seems like easy and much needed money, but the couple's twisted sense of humor pushes just how far Craig and his friend are willing to go for money and cheap thrills. (c) Drafthouse"
Delivery Man,2013,"Comedy, Drama","David Wozniak is a man who is irresponsible and unreliable which doesn't exactly endear him to his family and his girlfriend. And when she tells him that she's pregnant, she tells him, she plans to do it on her own because she can't count on him. One day a lawyer shows up and talks to him about the fact that twenty years ago he was a sperm donor for about a year and his sperm was used to father over 500 children. And now over 100 of them want to know who he is but because he signed a confidentiality agreement, they can't be told who he is. So they are going to court to try to get the confidentiality set aside. His lawyer tells him that they can win this. But when the lawyer who saw him gives him info on the ones who want to see him, he takes a peek at one and decides to go see him and not tell him he's the father. He then goes out and checks out some of his other children and doesn't tell them who he is and connects with them. His lawyer tells him it could jeopardize their case, especially since he can get a big settlement which he can use to pay back some people he borrowed from who ""tell"" him to pay or else."
Haunt,2014,"Horror, Mystery, Romance","A mother and father and their three teen-age children move to a new home that was the scene of a ""personal tragedy"". The son meets a mysterious neighbor girl and together they experiment with an old radio they find in the attic, that can be used to communicate with the dead. Something is unleashed that brings new horror."
