Title,Year,Genres,Plot
Sugar & Spice,2001,"Comedy, Crime","Jack and Diane were lovers, two crazy kids living in the heartlands. Airheaded Diane captains the cheerleading squad, who follow her through whatever she does. Jack is, of course, the football team's star quarterback. When Diane becomes pregnant, the two are thrown out of their homes and move into an apartment where they try to live on Jack's part-time salary from clerking at a video store. Meanwhile both continue in school - cheerleading and quarterbacking. When Diane realizes that they're not making it financially, she recruits the other cheerleaders to help her rob a bank. Their cheerleader oath of all for one commits them to helping her. A local hood gives them guns in exchange for their promise to put his homely daughter on the cheerleading squad."
Space Cowboys,2000,"Action, Adventure, Thriller","When a Russian satellite orbiting the Earth starts to veer off course. It seems like the guidance system in the satellite is of American origin. It's important to try and fix it before it comes into the atmosphere. The NASA man, Bob Gerson tries to find out who designed it and discovers that it was designed by Frank Corvin, an Air Force pilot who 40 years ago was part of the team who was originally suppose to go to space but when NASA was formed and Gerson's influence they were dropped. Gerson asks Frank to help but Frank still holds a grudge. But after some prodding he agrees but only if he and his team can go there so he can fix it. Gerson reluctantly agrees so Frank recruits his former team members, Tank Sullivan, Jerry O'Neill and Hawk Hawkins to join him. After some strenuous tests, they're cleared. And they go up with two other astronauts and check out the satellite and discover that they weren't told the whole truth."
Jesus' Son,1999,Drama,"A gentle and usually mellow young man, who sometimes knows things before they happen and gets vibes of premonition, tell us his story: how he met Michelle in Iowa in 1971, how he got the name Fuckhead, how she introduced him to heroin and their falling in love, his thieving, his hospital work and their time in Chicago when she gets pregnant, detox, going to Phoenix to live, AA meetings and a dance, working at a care center where he learns to touch the residents, and modifying his daily schedule so that he passes a neighboring Mennonite household at the right time to hear the wife sing Gospel songs in the shower. Slowly, very slowly, FH lets his gifts emerge."
Little Nicky,2000,"Comedy, Fantasy","When somebody's mother is an angel and his father is the devil, life can be really confusing. For a sweet boy like Little Nicky, it just got a whole lot worse. His two evil brothers Adrian and Cassius have just escaped from Hell and are wreaking havoc on an unsuspecting earth. His dad is disintegrating and it's up to Nicky to save him and all of a humanity by midnight before one of his brothers becomes the new Satan."
O,2001,"Drama, Romance, Thriller","Tough Coach Duke Goulding leaves nothing untried to lead his almost exclusively white boarding school basketball team, the Hawks, to victory after victory, but his own son Hugo feels his polyvalent technical excellence and tireless efforts -which require using stimulants- are not getting anything like the recognition he deserves, especially when coach gives the best player award to Odin James, the only black teammate, even saying he loves Odin like his own son, who in turn only calls super-rich Michael Cassio to share in the honor. So Hugo, who is liked by everyone, decides to set up the boys who stole his glory, and he knows a cocky adolescent's weak points are his pride and his girl. This Dixie Jago schemes to bring down a black Othello and his Cassio, playing into the poisonous power of jealousy, however badly this also hurts their loved ones and the whole team..."
"Me, Myself & Irene",2000,Comedy,"Charlie is a Rhode Island state trooper with a multiple personalities. He is otherwise mild-mannered and non confrontational until somebody or something pushes him a little too far. That's when his maniacal alter-ego, Hank, takes over. Charlie is assigned on a routine mission to return alleged fugitive Irene back to upstate New York, but they wind up on the run from corrupt police officers. And their escape would be a lot simpler on everybody involved if Hank didn't keep stepping in at the most inopportune times...."
Urbania,2000,Drama,"Charlie takes an odyssey through grief during a fall weekend in New York City. His encounters are planned and chance: with a homeless man who sleeps by his building, with a friend who's dying, with the couple who lives (and noisily loves) in the flat above him, with a bartender and a one-night-stand he follows home, and with a tattooed stranger whom he seeks out and befriends. Along the way, Charlie inhabits a city full of moments of violence and of stories and legends: a kidney thief, a microwaved poodle, a rat in a hot dog bun, a baby left on a car top, a tourist's toothbrush, needles in public-phone change slots. Charlie lives and tells his own stories. What caused his melancholy?"
Almost Famous,2000,"Adventure, Comedy, Drama","William Miller is a 15-year-old kid hired by Rolling Stone magazine to tour with and write about Stillwater, an up and coming rock band. This wonderfully witty coming-of-age film follows William as he falls face first to confront life, love, and lingo."
Traffic,2000,"Crime, Drama, Thriller","An intertwined drama about the United States' war on drugs, seen through the eyes of a once conservative judge, now newly-appointed drug czar, his crack-addicted daughter, two DEA agents, a jailed drug kingpin's wife, and a Mexican cop who begins to question his boss's motives."
The Specials,2000,"Action, Comedy, Fantasy","America's 7th Best Superhero Team, the Specials, are a group of geeks and oddballs. We get to see one day in their lives as fan and new member Nightbird joins the group, just in time for the group to get a new line of action figures. But the members' extreme personalities and personal issues threaten to rip the group apart."
