Title,Year,Genres,Plot
True Story,2015,"Crime, Drama, Mystery","Jonah Hill plays Michael Finkel, a recently terminated New York Times journalist who's struggling for work after a story gone wrong. One day, he receives a phone call from a man regarding an FBI Most Wanted individual named Christian Longo, who's been captured and claimed to be living as Finkel. Longo and Finkel meet and form a potentially marriage shattering bond while Longo is in prison awaiting his trial. Finkel exchanges journalism tips for the real events behind Longo's alleged heinous acts of murdering his family. Through the twists and turns in the movie, only at the end will Finkel uncover the True Story."
The Lifeguard,2013,"Drama, Romance","29-year-old Leigh is on leave from her job in New York City after feeling a sense of emptiness and sadness in her life. Leigh has returned to her parents' home, to her high school job as a lifeguard and to her high school friends still in town. But Leigh continues to struggle in finding happiness since her parents don't approve and she's bullied by local kids at the pool. Leigh finds an almost like kindred spirit in high school student Little Jason; but when their friendship turns into an illicit relationship, her friends don't approve and even more tragedy awaits Leigh in her personal journey towards happiness."
Drinking Buddies,2013,"Comedy, Drama, Romance","Luke and Kate are co-workers at a Chicago brewery, where they spend their days drinking and flirting. They're perfect for each other, except that they're both in relationships. Luke is in the midst of marriage talks with his girlfriend of six years, Kate is playing it cool with her music producer boyfriend Chris. But you know what makes the line between ""friends"" and ""more than friends"" really blurry? Beer."
The Raid 2,2014,"Action, Crime, Thriller","He thought it was over. After fighting his way out of a building filled with gangsters and madmen - a fight that left the bodies of police and gangsters alike piled in the halls - rookie Jakarta cop Rama thought it was done and he could resume a normal life. He couldn't have been more wrong. Formidable though they may have been, Rama's opponents in that fateful building were nothing more than small fish swimming in a pond much larger than he ever dreamed possible. And his triumph over the small fry has attracted the attention of the predators farther up the food chain. His family at risk, Rama has only one choice to protect his infant son and wife: He must go undercover to enter the criminal underworld himself and climb through the hierarchy of competing forces until it leads him to the corrupt politicians and police pulling the strings at the top of the heap. And so Rama begins a new odyssey of violence, a journey that will force him to set aside his own life and history and take on a new identity as the violent offender ""Yuda."" In prison he must gain the confidence of Uco - the son of a prominent gang kingpin - to join the gang himself, laying his own life on the line in a desperate all-or-nothing gambit to bring the whole rotten enterprise to an end."
Dragon Ball Z: Battle of Gods,2013,"Animation, Action, Comedy","The events of Battle of Gods take place some years after the battle with Majin Buu, which determined the fate of the entire universe. Bills, the God of Destruction, is tasked with maintaining some sort of balance in the universe. After awakening from a long slumber, Bills is visited by Whis and learns that the galactic overlord Frieza has been defeated by a Super Saiyan from the North Quadrant of the universe named Goku, who is also a former student of the North Kai. Ecstatic over the new challenge, Goku ignores King Kai's advice and battles Bills, but he is easily overwhelmed and defeated. Bills leaves, but his eerie remark of ""Is there nobody on Earth more worthy to destroy?"" lingers on. Now it is up to the heroes to stop the God of Destruction before all is lost."
Halo 4: Forward Unto Dawn,2012–,"Action, Adventure, Sci-Fi","In 2525, as mankind has begun to colonise space, a group of cadets are training to fight against human insurrectionists. One of these cadets, Thomas Lasky, has doubts about his abilities as a soldier and his convictions for this war. Whilst he struggles with himself, the planet is invaded by an unknown alien race. Reeling under the assault, Lasky and his squad mates are rescued by John-117, one of the UNSC's legendary SPARTAN-II super-soldiers. John must inspire Lasky to fulfill his potential as a soldier and a leader to fight against an enemy deadlier than any that humanity has faced before."
The Book of Life,2014,"Animation, Adventure, Comedy","From producer Guillermo del Toro and director Jorge Gutierrez comes an animated comedy with a unique visual style. THE BOOK OF LIFE is the journey of Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart. Before choosing which path to follow, he embarks on an incredible adventure that spans three fantastical worlds where he must face his greatest fears. Rich with a fresh take on pop music favorites, THE BOOK OF LIFE encourages us to celebrate the past while looking forward to the future."
Wadjda,2012,"Comedy, Drama","WADJDA is a 10-year-old girl living in a suburb of Riyadh, the capital of Saudi Arabia. Although she lives in a conservative world, Wadjda is fun loving, entrepreneurial and always pushing the boundaries of what she can get away with. After a fight with her friend Abdullah, a neighborhood boy she shouldn't be playing with, Wadjda sees a beautiful green bicycle for sale. She wants the bicycle desperately so that she can beat Abdullah in a race. But Wadjda's mother won't allow it, fearing repercussions from a society that sees bicycles as dangerous to a girl's virtue. So Wadjda decides to try and raise the money herself. At first, Wadjda's mother is too preoccupied with convincing her husband not to take a second wife to realize what's going on. And soon enough Wadjda's plans are thwarted when she is caught running various schemes at school. Just as she is losing hope of raising enough money, she hears of a cash prize for a Koran recitation competition at her school. She devotes herself to the memorization and recitation of Koranic verses, and her teachers begin to see Wadjda as a model pious girl. The competition isn't going to be easy, especially for a troublemaker like Wadjda, but she refuses to give in. She is determined to continue fighting for her dreams..."
The World Before Her,2012,Documentary,"Two young women follow completely divergent paths in the new, modernizing India-one wants to become Miss India, the other is a fierce Hindu Nationalist prepared to kill and die for her beliefs."
Zulu,2013,"Crime, Drama, Thriller","As a child, Ali Neuman narrowly escaped being murdered by Inkatha, a militant political party at war with Nelson Mandela's African National Congress. Only he and his mother survived the carnage of those years. But as with many survivors, the psychological scars remain. Today, Ali is chief of the homicide branch of the South African police in Cape Town. One of his staff is Brian Epkeen, a free-wheeling white officer whose family was originally involved in the establishment of apartheid but who works well with Neuman. Together they have to deal with crime that inevitably exists in sprawling areas of un- and under- employed people, crime exacerbated by gangs, both local and from other parts of Africa. Their job gets even more difficult when the corpses of two young women are found. A new evil has been introduced in the city and a new drug has been introduced to its residents, including both murder victims. At the chaotic crossroads where brutality and modernization collide, the echoes of apartheid still resound in the shadows of a society struggling toward reconciliation."
