Title,Year,Genres,Plot
Sleepwalk with Me,2012,Comedy,"A burgeoning stand-up comedian struggles with the stress of a stalled career, a stale relationship, and the wild spurts of severe sleepwalking he is desperate to ignore."
Holy Motors,2012,"Drama, Fantasy","We see a few seconds of a black and white, silent art film. There is a dark movie theater filled with people watching this film. The camera mostly remains on the audience. Cut to a man sleeping on twin bed with a sleeping dog next to another empty twin bed with the same sheets. He gets up and looks out the window and we see he is next to an airport. One of the walls is covered in wallpaper with skinny bare trees. He puts his ear to the wall. There is a hole in the wall and he looks through it but we don't know if he can see anything. He has a metal instrument on the middle finger of his right hand. He sticks the instrument into the hole in the wall. His hand shakes a little and he turns the instrument. This allows him to open a door in the wall. The dog joins him as he steps through the door. There is a set of double doors and he steps through them. It seems as though he has stepped through the fire exit on the balcony of a movie theater, presumably the theatre that the film opened in. The balcony is empty but the lower part of the theater is full. Cut to a new scene; daytime, a house, a family outside. The bids farewell to his children as he leaves for work. The man walks to a limo. The driver, Celine, is waiting for him. The man's name is Mr. Oscar."
Side Effects,2013,"Crime, Drama, Mystery","Emily Taylor, despite being reunited with her husband from prison, becomes severely depressed with emotional episodes and suicide attempts. Her psychiatrist, Jonathan Banks, after conferring with her previous doctor, eventually prescribes an experimental new medication called Ablixa. The plot thickens when the side effects of the drug lead to Emily killing her husband in a ""sleepwalking"" state. With Emily plea-bargained into mental hospital confinement and Dr. Banks' practice crumbling around him, the case seems closed. However, Dr. Banks cannot accept full responsibility and investigates to clear his name. What follows is a dark quest that threatens to tear what's left of his life apart even as he discovers the diabolical truth of this tragedy."
Revenge for Jolly!,2012,"Comedy, Drama","REVENGE FOR JOLLY! follows a man (Petsos) who, with the help of his cousin (Oscar Isaac), seeks to avenge the death of his beloved dog, who was killed under confusing and suspicious circumstances. The two men follow a series of clues in an attempt to track down the dog's murderer, leaving a path of destruction in their wake."
The Ambassador,2011,Documentary,Danish journalist Mads Brügger goes undercover as a Liberian Ambassador to embark on a dangerous yet hysterical journey to uncover the blood diamond trade in Africa.
Kite,2014,"Action, Crime, Thriller","Never Underestimate a Girl with Nothing to Lose. Based on the groundbreaking, cult classic anime, KITE tells the story of Sawa (India Eisley,""The Secret Life of the American Teenager,"" Underworld: Awakening), a young woman living in a corrupt society where crime and gangs terrorize the streets. When Sawa's mother and policeman father are found victims of a grisly double homicide, she begins a ruthless pursuit for the man who murdered them. With the help of her father's ex-partner, Karl Aker (Samuel L. Jackson, Captain America: The Winter Soldier, The Avengers, Django Unchained), and a mysterious friend from her past (Callan McAuliffe, The Great Gatsby, I Am Number Four), she becomes a merciless teen assassin, blasting her way through the dark world of human trafficking only to uncover a devastating truth."
Inside Llewyn Davis,2013,"Drama, Music","Follow a week in the life of a young folk singer as he navigates the Greenwich Village folk scene of 1961. Guitar in tow, huddled against the unforgiving New York winter, he is struggling to make it as a musician against seemingly insurmountable obstacles -- some of them of his own making."
Family Band: The Cowsills Story,2011,"Documentary, Biography, Family","The Cowsills are the real life inspiration behind The Partridge Family but The Cowsills' story is not a sitcom. Their story is raw and honest, tragic and beautiful. The Cowsills personify The Baby Boomer Generation in all of its extremes and eccentricities. All of its tragedies and triumphs. Their public image was talent and charm. Their private reality was secrets and fear. One of the most musically gifted American Families to hit the top of the pop charts, The Cowsills rose to fame, success and stardom in the late sixties. Five years later, their star came crashing back down to earth. This year, you will learn what happened to The Cowsills."
Laggies,2014,"Comedy, Drama, Romance","Megan's approaching 30 with a good degree and a boyfriend in hand, but when he proposes at her friend's wedding and everyone seems to think that the best way to advance in her career is to take a seminar where you find out what animal you are, Megan's understandably feeling lost. After meeting teenagers who want her to buy them beer, Megan is drawn into 16-year-old Annika's simpler life. She ends up moving in with Annika and her single father, juggling the life of a teen and that of an adult, two romantic interests, and the feeling of lagging behind."
Paradise Lost 3: Purgatory,2011,"Documentary, Crime","In 1993, a horrific triple child murder was discovered in West Memphis, Arkansas, but the reaction to it precipitated a horror of its own. This film follows up on the story of the three boys, called the West Memphis Three, who were convicted for this crime with questionable evidence. For years, the boys' fate sparked a mass movement striving to prove their innocence while the state is equally determined to avoid admitting it could have been wrong. Through the swirl of new evidence and suspects, the Three tell their own tale about enduring this injustice against the opinions of the victim's families in a debate that eventually came to an inadequate resolution."
