Title,Year,Genres,Plot
Lumumba,2000,"Biography, Drama, History","The true story of the rise to power and brutal assassination of the formerly vilified and later redeemed leader of the independent Congo, Patrice Lumumba. Using newly discovered historical evidence, Haitian-born and later Congo-raised writer and director Raoul Peck renders an emotional and tautly woven account of the mail clerk and beer salesman with a flair for oratory and an uncompromising belief in the capacity of his homeland to build a prosperous nation independent of its former Belgium overlords. Lumumba emerges here as the heroic sacrificial lamb dubiously portrayed by the international media and led to slaughter by commercial and political interests in Belgium, the United States, the international community, and Lumumba's own administration; a true story of political intrigue and murder where political entities, captains of commerce, and the military dovetail in their quest for economic and political hegemony."
Donnie Darko,2001,"Drama, Sci-Fi, Thriller","Donnie Darko doesn't get along too well with his family, his teachers and his classmates; but he does manage to find a sympathetic friend in Gretchen, who agrees to date him. He has a compassionate psychiatrist, who discovers hypnosis is the means to unlock hidden secrets. His other companion may not be a true ally. Donnie has a friend named Frank - a large bunny which only Donnie can see. When an engine falls off a plane and destroys his bedroom, Donnie is not there. Both the event, and Donnie's escape, seem to have been caused by supernatural events. Donnie's mental illness, if such it is, may never allow him to find out for sure."
The Musketeer,2001,"Action, Adventure, Romance","In 17th century Paris, a dashing swordsman named D'Artagnan finds himself at odds with the powerful forces taking over France. He sets out to avenge the murder of his parents and finds his country cleaved by chaos and civil unrest. His heart softens only for Francesca, a fiery peasant girl who claims D'Artagnan's heart on sight."
Big Trouble,2002,"Comedy, Crime, Thriller","A chain of events starts with the arrival of a mysterious suitcase in Miami. Arthur Herk, a corrupt business owner, wants to get his hands on the case. At the same time, two hit men want him whacked. Tired of his constant fixation on drinking and television, Herk's wife Anna and daughter Jenny decide to find new love interests in divorced dad Eliot Arnold and his son Matt. To add more complication, two thieves decide to steal the case and lead a Miami police team and two FBI agents on a wild goose chase that ends inside the Miami airport terminal."
Extremedays,2001,"Action, Adventure, Comedy","As four lifelong friends, Will, Bryan, Matt, and Corey, are on the road trip they've been planning their whole lives, Corey's beloved grandfather unexpectedly dies. When going to claim Corey's inheritance, the gang meets Matt's beautiful cousin Jessie and embark on a hilarious, extreme sports-filled adventure."
The Count of Monte Cristo,2002,"Action, Adventure, Drama","'The Count of Monte Cristo' is a remake of the Alexander Dumas tale by the same name. Dantes, a sailor who is falsely accused of treason by his best friend Fernand, who wants Dantes' girlfriend Mercedes for himself. Dantes is imprisoned on the island prison of Chateau d'If for 13 years, where he plots revenge against those who betrayed him. With the help of another prisoner, he escapes the island and proceeds to transform himself into the wealthy Count of Monte Cristo as part of his plan to exact revenge."
Amores Perros,2000,"Drama, Thriller","On the brink of the new Millennium in the bustling City of Mexico, one horrible car accident intertwines inextricably the lives of three perfect strangers. Octavio, a rebellious adolescent who is secretly in love with his sister-in-law, dreams of escaping his miserable life, and for this reason, he enters reluctantly the obscure world of dog fighting with his lethal dog Cofi. And then unexpectedly, Valeria, a stunning woman and famous supermodel, will cross paths with Octavio, while in the meantime, her pampered little dog Richie manages to vanish into thin air in the confined space of her apartment. Lastly, Chivo, an ex-guerrilla vagabond, after abandoning his little daughter, unable to make up for lost time, he channels his love to the city's strays and a mortally wounded Rottweiler. In the end, even though all the weary characters, men and beasts, wish for a bright future, in this life-changing journey in the pursuit of love, sometimes infidelity, sin and death can get in the way."
Joe Dirt,2001,"Adventure, Comedy, Drama","Joe Dirt is a janitor with a mullet hairdo, acid-washed jeans and a dream to find the parents that he lost at the Grand Canyon when he was a belligerent, trailer park-raised eight-year-old. Now, blasting Van Halen in his jacked-up economy car, the irrepressibly optimistic Joe hits the road alone in search of his folks. As his wandering, misguided search takes him from one hilarious misadventure to another, Joe finds his way to Los Angeles, where a shock-jock brings Joe on his radio show to insult him. But as Joe's life story unfolds, jeers turn to cheers, and an entire captivated city tunes in to hear the adventures of Joe Dirt."
Thir13en Ghosts,2001,Horror,"Arthur and his two children, Kathy and Bobby, inherit his Uncle Cyrus's estate: a glass house that serves as a prison to 12 ghosts. When the family, accompanied by Bobby's Nanny and an attorney, enter the house they find themselves trapped inside an evil machine ""designed by the devil and powered by the dead"" to open the Eye of Hell. Aided by Dennis, a ghost hunter, and his rival Kalina, a ghost rights activist out to set the ghosts free, the group must do what they can to get out of the house alive."
Lost and Delirious,2001,"Drama, Romance","Lost and Delirious is the story of three adolescent girls' first love, their discovery of sexual passion, and their search for identities. Set in a posh, private boarding school surrounded by luxuriant, green forest, Lost and Delirious moves swiftly from academic routine, homesickness, and girlish silliness to the darker region of lover's intrigue."
The Forsaken,2001,"Horror, Thriller","Sean is driving cross-country to deliver a vintage Mercedes and attend his sister's wedding when he picks up hitchhiker Nick, who just happens to be a vampire hunter, tracking down a group of youthful vampires who feed on unwary travelers. They run into Megan, who has been left for dead by the vampires. As they use her as a lure for the vampires, Sean becomes attracted to her. After Sean is infected with the vampire virus, he, Megan and Nick must race against time to kill the vampire leader Kit to stop Sean from becoming one of the undead."
The Fluffer,2001,"Drama, Comedy, Romance","The story, set in the world of adult entertainment, centers around three characters: Johnny Rebel, a straight man who has become a star in the world of gay porn; Johnny's stripper girlfriend Babylon; and Sean, a naive young man in love with Johnny, who ends up becoming Johnny's ""fluffer""."
Someone Like You...,2001,"Comedy, Romance","Jane Goodale has everything going for her. She's a producer of a popular daytime talk show, and is in a hot romance with the show's dashing executive producer Ray. When Ray unexpectedly dumps her, she begins an extensive study of male behavior to try to find out what makes men tick. Her ""research"" leads her to become an overnight sensation/guru for single women everywhere. When Jane begins to use her womanizing roommate and co-worker Eddie as fodder for her research, she finds both humor and answers where they were least expected."
Yi Yi,2000,"Drama, Romance","Each member of a family in Taipei asks hard questions about life's meaning as they live through everyday quandaries. NJ is morose: his brother owes him money, his mother is in a coma, his wife suffers a spiritual crisis when she finds her life a blank, his business partners make bad decisions against his advice, and he reconnects with his first love 30 years after he dumped her. His teenage daughter Ting-Ting watches emotions roil in their neighbors' flat and is experiencing the first stirrings of love. His 8-year-old son Yang-Yang is laconic like his dad and pursues truth with the help of a camera. ""Why is the world so different from what we think it is?"" asks Ting-Ting."
Swordfish,2001,"Action, Crime, Thriller","When the DEA shut down its dummy corporation operation codenamed SWORDFISH in 1986, they had generated $400 million which they let sit around; fifteen years of compound interest has swelled it to $9.5 billion. A covert counter-terrorist unit called Black Cell, headed by the duplicitious and suave Gabriel Shear, wants the money to help finance their raise-the-stakes vengeance war against international terrorism, but it's all locked away behind super-encryption. He brings in convicted hacker Stanley Jobson, who only wants to see his daughter Holly again but can't afford the legal fees, to slice into the government mainframes and get the money."
American Outlaws,2001,"Action, Western","When a Midwest town learns that a corrupt railroad baron has captured the deeds to their homesteads without their knowledge, a group of young ranchers join forces to take back what is rightfully theirs. In the course of their vendetta, they will become the object of the biggest manhunt in the history of the Old West and, as their fame grows, so will the legend of their leader, a young outlaw by the name of Jesse James."
Eureka,2000,Drama,The traumatized survivors of a murderous bus hijacking come together and take a road trip to attempt to overcome their damaged selves. Meanwhile a serial killer is on the loose.
Italian for Beginners,2000,"Comedy, Drama, Romance","A young minister, a widower, is temporarily assigned to a church whose suspended pastor drove parishioners away; he stays at a hotel where he meets Jørgen, who's alone approaching middle age. Jørgen's friend Finn, a temperamental restaurant manager, may be about to be fired. Finn's assistant is Giulia, a lovely young Italian who prays for a husband. Olympia, a clumsy bakery clerk, has an ornery father; Karen, a hairdresser, has a mother who is very ill. The paths of these six characters cross at church, in the restaurant, at the hotel, and at an Italian class at the local adult school. Loneliness, grief, solace, romance, and love may meet 'nel mezzo del cammin di nostra vita.'"
