Title,Year,Genres,Plot
Blankman,1994,"Comedy, Action, Crime","Darryl is a childlike man with a genius for inventing various gadgets out of junk. When he stumbles on a method to make his clothes bulletproof, he decides to use his skills to be the lowest budgeted superhero of all."
Baby's Day Out,1994,"Adventure, Comedy, Crime","Baby Bink couldn't ask for more; he has adoring (if somewhat sickly-sweet) parents, he lives in a huge mansion, and he's just about to appear in the social pages of the paper. Unfortunately, not everyone in the world is as nice as Baby Bink's parents; especially the three enterprising kidnappers who pretend to be photographers from the newspaper. Successfully kidnapping Baby Bink, they have a harder time keeping hold of the rascal, who not only keeps one step ahead of them, but seems to be more than a little bit smarter than the three bumbling criminals."
Africa: The Serengeti,1994,"Documentary, Short","The Serengeti is a huge area of grassland in Tanzania, Africa. Once a year, in the time of drought, about two million herd animals like antelopes travel north to feed and mate before moving south again, when plants there begin to blossom."
3 Ninjas Kick Back,1994,"Family, Comedy, Action","During a championship baseball match, the three brothers hear that their grandfather in Japan is in trouble, and head out to help him, conceding the match. When they arrive in Japan, they must use all their powers to defend him against his ancient enemy, who has returned to exact revenge."
Weekend at Bernie's II,1993,"Adventure, Comedy, Fantasy","After their adventure at Bernie's weekend house (events of ""Weekend At Bernie's"") accountants/programmers oafish Larry and up-tight Richard return to New York only to be blamed by the insurance company they all worked for Bernie's theft of two million dollars and fired. Larry and Richard investigate and discover that the money is somewhere in St Thomas in the Virgin Islands. Meanwhile the Cartel Bernie was stealing the money for hires a Voodoo Queen to help them find the money. She tells Henry and Charles to steal Bernie's body and raise it from the dead to lead them to the money. Unfortunately Henry and Charles goofed and Bernie can only move when he hears music. Richard, Larry and Bernie all go to St Thomas to find the money with the aid of Claudia only to be followed by Hummel, a company security officer, who believes that Larry and Richard stole the money as well as Henry and Charles. Who will get to the money first?..."
Untamed Heart,1993,"Comedy, Drama, Romance","Caroline has not had much luck in love. Boyfriends seem to either leave her or cheat on her. Then she meets a shy, introverted man at work named Adam. When leaving work one day, two men attack her. Adam comes to her rescue. Unfortunately, retaliation by the attackers sends Adam to the hospital where he finds out he has a diseased heart. Adam is an orphan and was told he had a baboon's heart. He refuses a transplant, as he believes his love for Caroline is contained in his damaged heart. Before tragedy can strike, they have a passionate but brief romance. Adam opens up to Caroline and he, in turn, heals her broken heart."
A Troll in Central Park,1994,"Animation, Adventure, Comedy","Stanley is a kindhearted, popular troll who can create flowers with a mere touch. When Gnorga, the mean-spirited Queen of the Kingdom of Trolls discovers Stanley's secret, she banishes him to a faraway place where she assumes nothing green can grow - New York City! Taking refuge in Central Park, Stanley befriends two young children, Gus and his baby sister Rosie. The three share wonderful adventures until Gnorga decides to let her mischief-making magic loose in the Big Apple."
Theremin: An Electronic Odyssey,1993,"Documentary, Biography, History","A documentary about the amazing life of Leon Theremin, inventor of the theremin, the electronic musical instrument so beloved of 50s sci-fi movie music. Theremin amazed America with his instrument until his kidnapping by Soviet agents in the mid-30s. Upon his release from a labor camp, he worked on surveillance devices for the KGB. Almost 60 years later , he is brought back to America for a touching reunion with his friends and colleagues."
Iron Monkey,1993,"Action, Crime, Drama","A Hong Kong variation on Robin Hood. The corrupt officials of a Chinese village are continually robbed by a masked bandit know as ""Iron Monkey"" named after a benevolent deity. When all else fails, the Govenor forces a traveling physician (Donnie Yen) into finding the bandit. The arrival of an evil Shaolin monk, brings the Physician and Iron Monkey together to battle the corrupt government."
The Sandlot,1993,"Comedy, Drama, Family","Scotty Smalls moves to a new neighborhood with his mom and stepdad, and wants to learn to play baseball. The neighborhood baseball guru Rodriquez takes Smalls under his wing, and soon he's part of the local baseball buddies. They fall into adventures involving baseball, treehouse sleep-ins, the desirous lifeguard at the local pool, the snooty rival ball team, and the travelling fair. Beyond the fence at the back of the sandlot menaces a legendary ball-eating dog called The Beast, and the kids inevitably must deal with him."
